,chr,end_0,end_1,TSS,strand,dist,end_1_original,end_1_fix
0,1,959222,959223,959251,-,8,959223,959215
1,1,959224,959225,959256,-,10,959225,959215
2,1,959236,959237,959268,-,22,959237,959215
3,1,1013556,1013557,1013493,+,19,1013557,1013576
4,1,1013560,1013561,1013497,+,15,1013561,1013576
5,1,1231950,1231951,1231982,-,59,1231951,1231892
6,1,1231951,1231952,1231983,-,60,1231952,1231892
7,1,1273803,1273804,1273833,-,138,1273804,1273666
8,1,1407211,1407212,1407243,-,81,1407212,1407131
9,1,1407221,1407222,1407250,-,91,1407222,1407131
10,1,1407223,1407224,1407247,-,93,1407224,1407131
11,1,1407246,1407247,1407278,-,116,1407247,1407131
12,1,1407258,1407259,1407292,-,128,1407259,1407131
13,1,1407263,1407264,1407293,-,133,1407264,1407131
14,1,1574836,1574837,1574863,-,359,1574837,1574478
15,1,1658989,1658990,1659008,-,76,1658990,1658914
16,1,1724325,1724326,1724357,-,68,1724326,1724258
17,1,1891055,1891056,1891087,-,31,1891056,1891025
18,1,2194754,2194755,2194772,-,67,2194755,2194688
19,1,3796459,3796460,3796491,-,598,3796460,3795862
20,1,3857179,3857180,3857211,-,-148,3857180,3857328
21,1,6026420,6026421,6026336,+,24,6026421,6026445
22,1,6026444,6026445,6026373,+,0,6026445,6026445
23,1,6199542,6199543,6199582,-,-19,6199543,6199562
24,1,6199567,6199568,6199588,-,6,6199568,6199562
25,1,6199577,6199578,6199609,-,16,6199578,6199562
26,1,6701784,6701785,6701814,-,56,6701785,6701729
27,1,6701784,6701785,6701816,-,56,6701785,6701729
28,1,7771359,7771360,7771275,+,25,7771360,7771385
29,1,7771373,7771374,7771296,+,11,7771374,7771385
30,1,7771384,7771385,7771305,+,0,7771385,7771385
31,1,7961734,7961735,7961663,+,0,7961735,7961735
32,1,7961734,7961735,7961680,+,0,7961735,7961735
33,1,7961734,7961735,7961701,+,0,7961735,7961735
34,1,7961734,7961735,7961709,+,0,7961735,7961735
35,1,7961734,7961735,7961711,+,0,7961735,7961735
36,1,7961734,7961735,7961713,+,0,7961735,7961735
37,1,7961734,7961735,7961717,+,0,7961735,7961735
38,1,7961734,7961735,7961718,+,0,7961735,7961735
39,1,8878613,8878614,8878644,-,34,8878614,8878580
40,1,8878654,8878655,8878683,-,75,8878655,8878580
41,1,8878654,8878655,8878685,-,75,8878655,8878580
42,1,8878656,8878657,8878679,-,77,8878657,8878580
43,1,8878658,8878659,8878690,-,79,8878659,8878580
44,1,8878661,8878662,8878692,-,82,8878662,8878580
45,1,8878662,8878663,8878688,-,83,8878663,8878580
46,1,8878669,8878670,8878686,-,90,8878670,8878580
47,1,8878671,8878672,8878689,-,92,8878672,8878580
48,1,8878677,8878678,8878709,-,98,8878678,8878580
49,1,8878688,8878689,8878720,-,109,8878689,8878580
50,1,8878692,8878693,8878712,-,113,8878693,8878580
51,1,9823933,9823934,9823965,-,291,9823934,9823643
52,1,10033013,10033014,10032965,+,680,10033014,10033694
53,1,10399121,10399122,10399066,+,3,10399122,10399125
54,1,10399124,10399125,10399058,+,0,10399125,10399125
55,1,10399124,10399125,10399061,+,0,10399125,10399125
56,1,10399124,10399125,10399069,+,0,10399125,10399125
57,1,10475001,10475002,10474961,+,0,10475002,10475002
58,1,11012704,11012705,11012655,+,38,11012705,11012743
59,1,11012719,11012720,11012651,+,23,11012720,11012743
60,1,11012738,11012739,11012654,+,4,11012739,11012743
